date,forecast_qty_total,forecast_qty_total_lower,forecast_qty_total_upper,sku_id
2024-11-16,2.0046857785869956,2.0046857785859733,2.004685778587938,3576081009
2024-11-17,2.00626091350763,2.0062609135067078,2.006260913508615,3576081009
2024-11-18,2.0078360484282656,2.0078360484273063,2.00783604842926,3576081009
2024-11-19,2.0094111833489,2.009411183347848,2.009411183349904,3576081009
2024-11-20,2.010986318269535,2.0109863182685332,2.0109863182705348,3576081009
2024-11-21,2.01256145319017,2.012561453189188,2.01256145319113,3576081009
2024-11-22,2.0141365881108046,2.0141365881098072,2.0141365881117874,3576081009
2024-11-23,2.01571172303144,2.0157117230304316,2.0157117230325343,3576081009
2024-11-24,2.0172868579520746,2.0172868579511065,2.017286857953096,3576081009
2024-11-25,2.0188619928727096,2.018861992871672,2.018861992873645,3576081009
2024-11-26,2.0204371277933446,2.0204371277922415,2.020437127794379,3576081009
2024-11-27,2.0220122627139796,2.02201226271295,2.0220122627150277,3576081009
2024-11-28,2.0235873976346146,2.023587397633587,2.0235873976356245,3576081009
2024-11-29,2.025162532555249,2.0251625325542197,2.0251625325562417,3576081009
2024-11-30,2.0267376674758846,2.0267376674749227,2.026737667476907,3576081009
2024-12-01,2.028312802396519,2.0283128023954364,2.0283128023975165,3576081009
2024-12-02,2.0298879373171546,2.0298879373161,2.029887937318189,3576081009
2024-12-03,2.031463072237789,2.0314630722367575,2.0314630722388944,3576081009
2024-12-04,2.033038207158424,2.0330382071573903,2.0330382071594673,3576081009
2024-12-05,2.034613342079059,2.034613342078017,2.034613342080064,3576081009
2024-12-06,2.0361884769996936,2.0361884769986474,2.0361884770007173,3576081009
2024-12-07,2.037763611920329,2.037763611919374,2.037763611921408,3576081009
2024-12-08,2.0393387468409636,2.0393387468398645,2.0393387468420587,3576081009
2024-12-09,2.0409138817615986,2.0409138817604515,2.0409138817626493,3576081009
2025-01-14,1.025201588774239,1.0252015887694472,1.0252015887789736,35760810972
2025-01-15,1.0503857790942372,1.0503857790894793,1.050385779098978,35760810972
2025-01-16,1.075569969414235,1.0755699694093328,1.0755699694195036,35760810972
2025-01-17,1.1007541597342339,1.1007541597289876,1.1007541597396184,35760810972
2025-01-18,1.1259383500542317,1.1259383500492404,1.1259383500593987,35760810972
2025-01-19,1.1511225403742296,1.1511225403690197,1.1511225403794418,35760810972
2025-01-20,1.1763067306942279,1.1763067306886255,1.1763067306996602,35760810972
2025-01-21,1.2014909210142257,1.2014909210084206,1.2014909210193256,35760810972
2025-01-22,1.2266751113342236,1.2266751113285592,1.2266751113395906,35760810972
2025-01-23,1.2518593016542223,1.2518593016478723,1.2518593016600934,35760810972
2025-01-24,1.2770434919742202,1.2770434919683689,1.2770434919802607,35760810972
2025-01-25,1.3022276822942185,1.302227682288426,1.3022276823003076,35760810972
2025-01-26,1.3274118726142163,1.3274118726077457,1.3274118726202848,35760810972
2025-01-27,1.3525960629342142,1.3525960629278582,1.3525960629400589,35760810972
2025-01-28,1.3777802532542125,1.377780253247821,1.3777802532607097,35760810972
2025-01-29,1.4029644435742104,1.4029644435673834,1.4029644435816877,35760810972
2025-01-30,1.428148633894209,1.4281486338867582,1.4281486339017968,35760810972
2025-01-31,1.453332824214207,1.4533328242063053,1.4533328242217975,35760810972
2025-02-01,1.4785170145342048,1.478517014526734,1.478517014542031,35760810972
2025-02-02,1.503701204854203,1.5037012048461302,1.5037012048624143,35760810972
2025-02-03,1.528885395174201,1.5288853951634038,1.5288853951836872,35760810972
2025-02-04,1.5540695854941988,1.5540695854834947,1.554069585503857,35760810972
2025-02-05,1.5792537758141976,1.5792537757739806,1.5792537758478264,35760810972
2025-02-06,1.6044379661341954,1.6044379660704633,1.6044379661962294,35760810972
2025-02-07,1.6296221564541937,1.62962215633696,1.6296221565545457,35760810972
2025-02-08,1.6548063467741916,1.6548063464878857,1.6548063469329295,35760810972
2025-02-09,1.6799905370941899,1.679990536784297,1.6799905373523796,35760810972
2025-02-10,1.7051747274141877,1.7051747270166477,1.705174727665587,35760810972
2025-03-04,2.1990585081588705,-0.21461480276486802,4.604724684330138,3577564803
2025-03-05,2.341662918750751,0.13908751777716585,4.697319509015455,3577564803
2025-03-06,2.4863427239943894,0.06542988190564158,4.8047487430799345,3577564803
2025-03-07,2.631099918211014,0.3661596325400373,5.148667018937693,3577564803
2025-03-08,2.7739958259277255,0.46614096825500445,5.172663508176231,3577564803
2025-03-09,2.913214310950978,0.5858643205791338,5.17303562819311,3577564803
2025-03-10,3.0471198285948997,0.6449511881163894,5.374942568188849,3577564803
2025-03-11,3.1743081823182515,0.8435152826022057,5.412874353939805,3577564803
2025-03-12,3.293648116603494,0.8290364984407852,5.6478342458891175,3577564803
2025-03-13,3.4043122145245412,1.0722196094182694,5.649190593774815,3577564803
2025-03-14,3.5057959596662505,1.2205159275265427,6.019873817168987,3577564803
2025-03-15,3.597924254130183,1.295928879970463,6.01926507062003,3577564803
2025-03-16,3.6808451425387747,1.2378416222702915,6.05708034195335,3577564803
2025-03-17,3.755010960326926,1.1876158975996425,5.992976985655468,3577564803
2025-03-18,3.821147587087686,1.5809289837187694,6.119252001307863,3577564803
2025-03-19,3.8802129263559113,1.5568335576113448,6.195829435242777,3577564803
2025-03-20,3.933346136605353,1.7169118526019518,6.473485849934137,3577564803
2025-03-21,3.9818094904375174,1.6789590148027598,6.214219140220715,3577564803
2025-03-22,4.026925027404305,1.8344693120249815,6.364405002440501,3577564803
2025-03-23,4.070008380449361,1.7855113840521306,6.35437733289624,3577564803
2025-03-24,4.112302288541466,1.8102283614366712,6.528468870402566,3577564803
2025-03-25,4.154912353589742,1.8769647396132085,6.432857974458893,3577564803
2025-03-26,4.198747555808008,1.8970811474417832,6.455487744273479,3577564803
2025-03-27,4.244467909011057,1.711131123202229,6.51568229144764,3577564803
2025-03-28,4.2924414194405935,1.968334617025814,6.691469212831222,3577564803
2025-03-29,4.342712215141593,1.9066979494974816,6.764825294156495,3577564803
2025-03-30,4.394981346825295,2.2467436808409147,6.837428253275933,3577564803
2025-03-31,4.448601336935756,2.132662465148042,6.7192752732202194,3577564803
2025-01-28,1.0,0.9999999987272297,1.0000000012483738,43464179063
2025-01-29,1.0,0.9999999986046211,1.0000000012974808,43464179063
2025-01-30,1.0,0.9999999986723016,1.0000000014040706,43464179063
2025-01-31,1.0,0.9999999986697012,1.000000001267338,43464179063
2025-02-01,1.0,0.999999998679462,1.0000000012767658,43464179063
2025-02-02,1.0,0.9999999987298739,1.0000000013270751,43464179063
2025-02-03,1.0,0.9999999985473917,1.0000000014304335,43464179063
2025-02-04,1.0,0.9999999985587479,1.0000000014455408,43464179063
2025-02-05,1.0,0.9999999985219379,1.0000000015393637,43464179063
2025-02-06,1.0,0.9999999984815002,1.0000000014187012,43464179063
2025-02-07,1.0,0.9999999984545745,1.000000001589293,43464179063
2025-02-08,1.0,0.9999999983194079,1.0000000014504051,43464179063
